"Commodity code","Description"
"AA","Asparagus, Canned"
"AB","Black Beans, Canned"
"AC","Apple Sauce"
"AJ","Apple Juice"
"AL","Almonds"
"AP","Apples"
"AS","Asparagus"
"AV","Avocado"
"AX","Apples-Single Servings"
"AZ","Cranberries, Frozen"
"BA","Beef Adipose"
"BB","Blueberries, Cultivated"
"BK","Blackberries"
"BL","Beef Liver"
"BM","Beef Muscle"
"BN","Bananas"
"BR","Broccoli"
"BS","Basil"
"BT","Beets, Canned"
"BU","Butter"
"BY","Barley"
"BZ","Blueberries, Frozen"
"CA","Cranberries"
"CB","Sweet Corn, Fresh"
"CC","Peaches, Canned"
"CD","Sweet Corn, Canned"
"CE","Celery"
"CF","Cauliflower"
"CG","Cabbage"
"CH","Cherries"
"CL","Cilantro"
"CM","Heavy Cream"
"CN","Cantaloupe"
"CO","Corn Grain"
"CP","Pears, Canned"
"CR","Carrots"
"CS","Sweet Corn, Frozen"
"CT","Cherry Tomatoes"
"CU","Cucumbers"
"CX","Peaches-Single Servings"
"CY","Corn Syrup"
"CZ","Cherries, Frozen"
"DF","Infant Formula, Dairy-based"
"EG","Eggs"
"EP","Eggplant"
"FC","Fish, Catfish"
"FS","Fish, Salmon"
"GB","Green Beans"
"GC","Green Beans, Canned"
"GF","Grapefruit"
"GJ","Grape Juice"
"GK","Kale Greens"
"GL","Collard Greens"
"GO","Green Onions"
"GR","Grapes"
"GZ","Green Beans, Frozen"
"HP","Hot Peppers"
"HY","Honey"
"HZ","Peaches, Frozen"
"IA","Baby Food - Applesauce"
"IC","Baby Food - Carrots"
"IE","Baby Food - Peas"
"IG","Baby Food - Green Beans"
"IH","Baby Food - Peaches"
"IP","Baby Food - Pears"
"IS","Baby Food - Sweet Potatoes"
"KA","Pork Adipose"
"KB","Kidney Beans, Canned"
"KM","Pork Muscle"
"KW","Kiwi Fruit"
"LO","Lettuce, Organic"
"LT","Lettuce"
"MA","Mangoes"
"MG","Mustard Greens"
"MK","Milk"
"MU","Mushrooms"
"NB","Pinto Beans, Canned"
"NC","Pineapple, Canned"
"NE","Nectarines"
"OA","Oats"
"OG","Oranges"
"OJ","Orange Juice"
"OL","Olives, Canned"
"ON","Onion"
"PA","Poultry Adipose"
"PB","Peanut Butter"
"PC","Peaches"
"PD","Plums, Dried (Prunes)"
"PE","Pears"
"PJ","Pear Juice, Concentrate/Puree"
"PL","Poultry Liver"
"PM","Poultry Muscle"
"PN","Pineapples"
"PO","Potatoes"
"PP","Sweet Bell Peppers"
"PR","Poultry, Breast"
"PS","Sweet Peas, Frozen"
"PT","Poultry, Thigh"
"PU","Plums"
"PX","Pears-Single Servings"
"PZ","Potatoes, Frozen"
"RA","Raisins"
"RC","Cranberries, Canned"
"RD","Radishes"
"RI","Rice"
"RS","Raspberries"
"RZ","Raspberries, Frozen"
"SC","Spinach, Canned"
"SD","Sweet Peas, Canned"
"SF","Spinach, Frozen"
"SN","Snap Peas"
"SP","Spinach"
"SS","Summer Squash"
"ST","Strawberries"
"SW","Sweet Potatoes"
"SY","Soybean Grain"
"SZ","Strawberries, Frozen"
"TA","Tangerines"
"TC","Tomatoes, Canned"
"TO","Tomatoes"
"TP","Tomato Paste"
"WB","Water, Bottled"
"WF","Wheat Flour"
"WG","Water, Groundwater"
"WH","Wheat grain"
"WM","Watermelon"
"WR","Water, Finished"
"WS","Winter Squash"
"WU","Water, Untreated"
"WZ","Winter Squash, Frozen"
"YA","Papaya"
"YF","Infant Formula, Soy-based"
"ZB","Garbanzo Beans, Canned"
"ZD","Garbanzo Beans, Dried"