state_code,county_code,site_number,parameter_code,poc,latitude,longitude,datum,parameter,sample_duration_code,sample_duration,pollutant_standard,metric_used,method,year,units_of_measure,event_type,observation_count,observation_percent,validity_indicator,valid_day_count,required_day_count,exceptional_data_count,null_observation_count,primary_exceedance_count,secondary_exceedance_count,certification_indicator,arithmetic_mean,standard_deviation,first_max_value,first_max_datetime,second_max_value,second_max_datetime,third_max_value,third_max_datetime,fourth_max_value,fourth_max_datetime,first_max_nonoverlap_value,first_max_n_o_datetime,second_max_nonoverlap_value,second_max_n_o_datetime,ninety_ninth_percentile,ninety_eighth_percentile,ninety_fifth_percentile,ninetieth_percentile,seventy_fifth_percentile,fiftieth_percentile,tenth_percentile,local_site_name,site_address,state,county,city,cbsa_code,cbsa,date_of_last_change
48,029,0032,44201,2,29.51509,-98.620166,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,,2002,Parts per million,No Events,6184,100.0,Y,244,245,0,0,32,32,Certified,0.050242,0.019202,0.111,2002-09-12 11:00,0.11,2002-06-24 11:00,0.107,2002-06-17 11:00,0.104,2002-06-18 09:00,,,,,0.107,0.1,0.087,0.076,0.061,0.048,0.04,San Antonio Northwest,6655 Bluebird Lane,Texas,Bexar,Leon Valley,41700,"San Antonio-New Braunfels, TX",2022-01-20
48,029,0052,44201,1,29.632058,-98.564936,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,,2002,Parts per million,No Events,5828,92.0,Y,226,245,0,0,21,21,Certified,0.046235,0.017934,0.1,2002-06-24 11:00,0.097,2002-09-13 10:00,0.096,2002-06-23 10:00,0.095,2002-06-18 09:00,,,,,0.096,0.091,0.08,0.07,0.057,0.046,0.037,Camp Bullis,F Range (1000Yd marker off Wilderness Trail),Texas,Bexar,San Antonio,41700,"San Antonio-New Braunfels, TX",2022-01-20
48,029,0059,44201,1,29.275381,-98.311692,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,,2002,Parts per million,No Events,6106,98.0,Y,256,260,0,0,17,17,Certified,0.044043,0.015975,0.09,2002-09-13 10:00,0.086,2002-09-12 10:00,0.082,2002-06-18 12:00,0.081,2002-06-17 11:00,,,,,0.082,0.078,0.073,0.067,0.055,0.045,0.035,Calaveras Lake,14620 Laguna Rd,Texas,Bexar,San Antonio,41700,"San Antonio-New Braunfels, TX",2022-01-20
48,061,0006,44201,1,25.892518,-97.49383,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,,2002,Parts per million,No Events,6114,97.0,Y,355,365,0,0,1,1,Certified,0.032831,0.012261,0.082,2002-09-13 11:00,0.067,2002-08-30 10:00,0.067,2002-09-22 08:00,0.065,2002-10-13 10:00,,,,,0.065,0.06,0.053,0.05,0.042,0.031,0.018,Brownsville,344 Porter Drive,Texas,Cameron,Brownsville,15180,"Brownsville-Harlingen, TX",2022-01-20
48,085,0005,44201,1,33.1324,-96.786419,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,,2002,Parts per million,No Events,5932,99.0,Y,242,245,0,0,27,27,Certified,0.049198,0.016761,0.1,2002-09-13 11:00,0.099,2002-09-14 11:00,0.088,2002-09-27 12:00,0.086,2002-09-28 10:00,,,,,0.088,0.085,0.079,0.071,0.062,0.048,0.036,Frisco,6590 Hillcrest Road,Texas,Collin,Frisco,19100,"Dallas-Fort Worth-Arlington, TX",2022-01-20
48,085,0010,44201,1,33.355833,-96.551111,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,,2002,Parts per million,No Events,6097,100.0,Y,244,245,0,0,17,17,Certified,0.04627,0.014815,0.09,2002-09-13 10:00,0.088,2002-07-25 11:00,0.086,2002-09-14 11:00,0.078,2002-06-23 09:00,,,,,0.086,0.077,0.072,0.066,0.057,0.047,0.036,ANNA,817 N. TEXAS HIGHWAY 5,Texas,Collin,Not in a city,19100,"Dallas-Fort Worth-Arlington, TX",2022-01-20
48,113,0069,44201,3,32.820061,-96.860117,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,,2002,Parts per million,No Events,6121,98.0,Y,239,245,0,0,35,35,Certified,0.046682,0.020664,0.118,2002-08-09 11:00,0.11,2002-06-23 10:00,0.095,2002-06-24 10:00,0.091,2002-07-11 11:00,,,,,0.095,0.09,0.084,0.075,0.06,0.044,0.032,Dallas Hinton,1415 Hinton Street,Texas,Dallas,Dallas,19100,"Dallas-Fort Worth-Arlington, TX",2022-01-20
48,113,0075,44201,1,32.919206,-96.808498,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,,2002,Parts per million,No Events,6112,99.0,Y,242,245,0,0,18,18,Certified,0.044025,0.017519,0.103,2002-08-09 11:00,0.095,2002-06-23 10:00,0.088,2002-09-13 10:00,0.088,2002-09-14 11:00,,,,,0.088,0.083,0.074,0.067,0.057,0.042,0.031,Dallas North #2,12532 1/2 Nuestra Drive,Texas,Dallas,Dallas,19100,"Dallas-Fort Worth-Arlington, TX",2022-01-20
48,113,0087,44201,1,32.676451,-96.87206,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,Multiple Methods Used,2002,Parts per million,No Events,5686,86.0,Y,210,245,0,0,22,22,Certified,0.044638,0.019061,0.098,2002-08-09 11:00,0.091,2002-06-23 10:00,0.087,2002-08-07 10:00,0.086,2002-06-24 10:00,,,,,0.087,0.084,0.08,0.071,0.058,0.043,0.033,Dallas Redbird Airport Executive,3277 W Redbird Lane,Texas,Dallas,Dallas,19100,"Dallas-Fort Worth-Arlington, TX",2022-01-20
48,113,3003,44201,1,32.769379,-96.546299,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,,2002,Parts per million,No Events,6161,99.0,Y,242,245,0,0,19,19,Certified,0.046058,0.016315,0.095,2002-06-23 10:00,0.088,2002-09-14 11:00,0.087,2002-08-09 10:00,0.084,2002-06-22 10:00,,,,,0.087,0.081,0.074,0.067,0.058,0.045,0.036,SUNNYVALE LONG CREEK,405 LONG CREEK RD,Texas,Dallas,Not in a city,19100,"Dallas-Fort Worth-Arlington, TX",2022-01-20
48,113,0069,44201,3,32.820061,-96.860117,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,,2002,Parts per million,No Events,6121,98.0,Y,239,245,0,0,35,35,Certified,0.046682,0.020664,0.118,2002-08-09 11:00,0.11,2002-06-23 10:00,0.095,2002-06-24 10:00,0.091,2002-07-11 11:00,,,,,0.095,0.09,0.084,0.075,0.06,0.044,0.032,Dallas Hinton,1415 Hinton Street,Texas,Dallas,Dallas,19100,"Dallas-Fort Worth-Arlington, TX",2022-01-20
48,113,0075,44201,1,32.919206,-96.808498,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,,2002,Parts per million,No Events,6112,99.0,Y,242,245,0,0,18,18,Certified,0.044025,0.017519,0.103,2002-08-09 11:00,0.095,2002-06-23 10:00,0.088,2002-09-13 10:00,0.088,2002-09-14 11:00,,,,,0.088,0.083,0.074,0.067,0.057,0.042,0.031,Dallas North #2,12532 1/2 Nuestra Drive,Texas,Dallas,Dallas,19100,"Dallas-Fort Worth-Arlington, TX",2022-01-20
48,113,0087,44201,1,32.676451,-96.87206,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,Multiple Methods Used,2002,Parts per million,No Events,5686,86.0,Y,210,245,0,0,22,22,Certified,0.044638,0.019061,0.098,2002-08-09 11:00,0.091,2002-06-23 10:00,0.087,2002-08-07 10:00,0.086,2002-06-24 10:00,,,,,0.087,0.084,0.08,0.071,0.058,0.043,0.033,Dallas Redbird Airport Executive,3277 W Redbird Lane,Texas,Dallas,Dallas,19100,"Dallas-Fort Worth-Arlington, TX",2022-01-20
48,113,3003,44201,1,32.769379,-96.546299,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,,2002,Parts per million,No Events,6161,99.0,Y,242,245,0,0,19,19,Certified,0.046058,0.016315,0.095,2002-06-23 10:00,0.088,2002-09-14 11:00,0.087,2002-08-09 10:00,0.084,2002-06-22 10:00,,,,,0.087,0.081,0.074,0.067,0.058,0.045,0.036,SUNNYVALE LONG CREEK,405 LONG CREEK RD,Texas,Dallas,Not in a city,19100,"Dallas-Fort Worth-Arlington, TX",2022-01-20
48,121,0034,44201,1,33.219069,-97.196284,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,,2002,Parts per million,No Events,6037,95.0,Y,232,245,0,0,46,46,Certified,0.050578,0.020017,0.114,2002-06-23 12:00,0.112,2002-08-09 12:00,0.106,2002-07-09 10:00,0.102,2002-06-24 11:00,,,,,0.106,0.101,0.086,0.078,0.062,0.049,0.038,Denton Airport South,Denton Airport South,Texas,Denton,Denton,19100,"Dallas-Fort Worth-Arlington, TX",2022-01-20
48,141,0029,44201,1,31.785769,-106.323578,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,,2002,Parts per million,No Events,6075,96.0,Y,352,365,0,0,8,8,Certified,0.04427,0.013024,0.088,2002-06-29 10:00,0.084,2002-08-03 11:00,0.083,2002-06-12 10:00,0.083,2002-08-23 10:00,,,,,0.083,0.071,0.067,0.061,0.052,0.044,0.028,Ivanhoe,10834 Ivanhoe (Ivanhoe Fire Station),Texas,El Paso,El Paso,21340,"El Paso, TX",2022-01-20
48,141,0037,44201,2,31.768286,-106.501243,NAD83,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,,2002,Parts per million,No Events,6173,99.0,Y,361,365,0,0,12,12,Certified,0.043767,0.014039,0.101,2002-09-02 10:00,0.095,2002-06-29 11:00,0.085,2002-08-03 10:00,0.077,2002-06-27 10:00,,,,,0.077,0.073,0.068,0.062,0.053,0.042,0.027,El Paso UTEP,250 Rim Rd,Texas,El Paso,El Paso,21340,"El Paso, TX",2022-01-20
48,141,0044,44201,1,31.765685,-106.455227,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,,2002,Parts per million,No Events,6129,98.0,Y,357,365,0,0,11,11,Certified,0.044199,0.014851,0.105,2002-06-29 11:00,0.103,2002-08-03 10:00,0.091,2002-06-27 10:00,0.089,2002-09-02 10:00,,,,,0.089,0.075,0.069,0.065,0.053,0.044,0.025,El Paso Chamizal,800 S San Marcial Street,Texas,El Paso,El Paso,21340,"El Paso, TX",2022-01-20
48,141,0055,44201,1,31.746775,-106.402806,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,,2002,Parts per million,No Events,6198,100.0,Y,364,365,0,0,10,10,Certified,0.041396,0.014661,0.097,2002-06-29 10:00,0.093,2002-08-03 10:00,0.089,2002-06-12 09:00,0.088,2002-06-27 10:00,,,,,0.088,0.075,0.066,0.06,0.051,0.041,0.023,Ascarate Park SE,650 R E Thomason Loop,Texas,El Paso,El Paso,21340,"El Paso, TX",2022-01-20
48,141,0057,44201,1,31.6675,-106.288,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,,2002,Parts per million,No Events,6174,99.0,Y,360,365,0,0,10,10,Certified,0.044933,0.01143,0.088,2002-06-12 11:00,0.081,2002-06-11 11:00,0.08,2002-08-23 10:00,0.075,2002-06-29 11:00,,,,,0.075,0.072,0.065,0.06,0.052,0.044,0.031,Socorro Hueco,320 Old Hueco Tanks Road,Texas,El Paso,Socorro,21340,"El Paso, TX",2022-01-20
48,141,0058,44201,1,31.893913,-106.425827,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,,2002,Parts per million,No Events,6071,97.0,Y,353,365,0,0,12,12,Certified,0.048878,0.012485,0.092,2002-06-29 11:00,0.09,2002-08-03 10:00,0.085,2002-07-17 11:00,0.082,2002-05-29 11:00,,,,,0.082,0.075,0.067,0.064,0.057,0.048,0.033,Skyline Park,5050A Yvette Drive,Texas,El Paso,El Paso,21340,"El Paso, TX",2022-01-20
48,167,0014,44201,1,29.263319,-94.856568,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,,2002,Parts per million,No Events,5847,93.0,Y,338,365,0,0,21,21,Certified,0.03876,0.016742,0.099,2002-09-20 12:00,0.096,2002-09-14 09:00,0.095,2002-06-23 09:00,0.093,2002-08-03 10:00,,,,,0.093,0.079,0.073,0.064,0.047,0.035,0.021,GALVESTON ISLAND,8715 CESSNA STREET,Texas,Galveston,Galveston,26420,"Houston-The Woodlands-Sugar Land, TX",2022-01-20
48,167,1002,44201,2,29.398611,-94.933333,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,,2002,Parts per million,No Events,6149,99.0,Y,360,365,0,0,13,13,Certified,0.031333,0.016393,0.09,2002-07-06 12:00,0.089,2002-09-12 10:00,0.085,2002-09-27 10:00,0.083,2002-09-14 09:00,,,,,0.083,0.075,0.065,0.054,0.04,0.028,0.013,WEST OF 15TH AVE. N & NORTH LOGAN INTERSECTION,2701 13TH AVE NORTH AT LOGAN,Texas,Galveston,Texas City,26420,"Houston-The Woodlands-Sugar Land, TX",2022-01-20
48,183,0001,44201,2,32.378696,-94.711813,NAD83,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,,2002,Parts per million,No Events,6195,100.0,Y,244,245,0,0,27,27,Certified,0.046045,0.017396,0.091,2002-09-27 10:00,0.09,2002-08-08 10:00,0.085,2002-09-11 10:00,0.084,2002-06-23 10:00,,,,,0.085,0.084,0.076,0.072,0.058,0.047,0.036,Longview,Gregg Co Airport near Longview,Texas,Gregg,Longview,30980,"Longview, TX",2022-01-20
48,201,0024,44201,2,29.901036,-95.326137,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,,2002,Parts per million,No Events,5970,95.0,Y,347,365,0,0,22,22,Certified,0.039706,0.017979,0.109,2002-09-28 10:00,0.099,2002-09-13 10:00,0.099,2002-09-14 10:00,0.096,2002-06-15 11:00,,,,,0.096,0.09,0.074,0.063,0.05,0.036,0.019,Houston Aldine,4510 1/2 Aldine Mail Rd,Texas,Harris,Houston,26420,"Houston-The Woodlands-Sugar Land, TX",2022-01-20
48,201,0026,44201,3,29.802707,-95.125495,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,,2002,Parts per million,No Events,6140,98.0,Y,359,365,0,0,16,16,Certified,0.036365,0.017272,0.113,2002-09-14 10:00,0.103,2002-08-02 12:00,0.092,2002-09-28 09:00,0.089,2002-09-13 11:00,,,,,0.089,0.083,0.068,0.058,0.045,0.034,0.016,Channelview,1405 Sheldon Road,Texas,Harris,Channelview,26420,"Houston-The Woodlands-Sugar Land, TX",2022-01-20
48,201,0029,44201,2,30.039524,-95.673951,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,,2002,Parts per million,No Events,5812,92.0,Y,337,365,0,0,22,22,Certified,0.041561,0.017249,0.123,2002-09-28 11:00,0.103,2002-04-12 11:00,0.1,2002-08-09 11:00,0.098,2002-06-12 11:00,,,,,0.098,0.088,0.073,0.064,0.05,0.039,0.023,Northwest Harris County,16822 Kitzman,Texas,Harris,Tomball,26420,"Houston-The Woodlands-Sugar Land, TX",2022-01-20
48,201,0046,44201,1,29.828086,-95.284096,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,,2002,Parts per million,No Events,6165,99.0,Y,362,365,0,0,10,10,Uncertified (past due),0.033141,0.016237,0.098,2002-09-28 10:00,0.087,2002-09-14 11:00,0.082,2002-09-13 10:00,0.078,2002-08-02 12:00,,,,,0.078,0.074,0.064,0.058,0.042,0.029,0.015,Houston North Wayside,7330 1/2 North Wayside,Texas,Harris,Houston,26420,"Houston-The Woodlands-Sugar Land, TX",2022-01-20
48,201,0047,44201,2,29.834167,-95.489167,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,,2002,Parts per million,No Events,6125,97.0,Y,355,365,0,0,5,5,Uncertified (past due),0.027259,0.015016,0.09,2002-09-28 10:00,0.088,2002-04-12 11:00,0.086,2002-09-13 10:00,0.072,2002-06-12 10:00,,,,,0.072,0.067,0.057,0.048,0.034,0.024,0.011,Lang,4401 1/2 Lang Rd,Texas,Harris,Houston,26420,"Houston-The Woodlands-Sugar Land, TX",2022-01-20
48,201,0051,44201,2,29.623889,-95.474167,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,,2002,Parts per million,No Events,6151,99.0,Y,360,365,0,0,30,30,Requested but denied,0.038519,0.019565,0.115,2002-06-15 10:00,0.108,2002-06-18 10:00,0.106,2002-09-13 11:00,0.101,2002-09-12 10:00,,,,,0.101,0.087,0.079,0.067,0.048,0.034,0.018,Houston Croquet,13826 1/2 Croquet,Texas,Harris,Houston,26420,"Houston-The Woodlands-Sugar Land, TX",2022-01-20
48,201,0055,44201,1,29.695729,-95.499219,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,,2002,Parts per million,No Events,6140,98.0,Y,358,365,0,0,34,34,Certified,0.039777,0.020345,0.123,2002-09-13 11:00,0.108,2002-06-18 10:00,0.097,2002-06-15 11:00,0.094,2002-09-12 10:00,,,,,0.094,0.088,0.082,0.07,0.049,0.036,0.019,Houston Bayland Park,6400 Bissonnet Street,Texas,Harris,Houston,26420,"Houston-The Woodlands-Sugar Land, TX",2022-01-20
